SFH10,SFH6,SFH7,SFH8,SFH9,Day,Hour
583.4730834,98.92547226,0.0,155.9272225,216.8917779,315,0
479.5736946,267.1691387,0.0,114.0556113,183.3838889,315,1
373.6611948,68.59000009,0.0,110.0010837,138.3048887,315,2
387.0356949,157.4809999,0.0,112.5149444,136.7538057,315,3
341.9050278,106.7822777,0.0,118.8411668,243.2222215,315,4
326.2823052,161.02875,0.0,106.8358613,208.0883055,315,5
366.6332221,283.5073891,0.0,115.0913055,243.8163333,315,6
342.6461665,89.74002789,0.0,107.6894442,318.2968895,315,7
459.1017493,92.9624722,0.0,193.3208053,3856.797622,315,8
435.9993052,404.9024739,0.0,410.9153626,1728.443993,315,9
415.9909716,1715.78228,0.0,647.9058348,1012.427641,315,10
713.599361,212.6462223,0.0,313.9719157,1253.935639,315,11
490.515388,122.9277778,0.0,260.9799167,837.7262757,315,12
435.8162777,83.27075024,0.0,238.0498611,210.4468054,315,13
453.0718609,189.0754999,0.0,316.8528329,547.7968895,315,14
452.0168326,95.86691675,0.0,511.6153069,1653.96686,315,15
1182.951028,155.6563054,0.0,926.3314148,1094.398417,315,16
691.1046672,264.9964447,0.0,976.6623865,300.2741672,315,17
662.4548597,204.9834161,0.0,345.6435281,385.4803056,315,18
882.6866948,546.6455845,0.0,303.9147229,392.7800279,315,19
566.8747216,694.8258618,0.0,321.5089163,405.7276397,315,20
442.2942778,525.4691111,0.0,314.7772228,440.0338613,315,21
636.0294718,389.9201947,0.0,159.1551394,351.502889,315,22
550.5801949,77.24669433,0.0,154.3608334,280.063528,315,23
489.771333,116.637,0.0,134.2924166,142.4853889,316,0
475.8405828,126.8896943,0.0,149.5307498,173.1224163,316,1
454.6926672,68.25650003,0.0,123.3444719,226.8639437,316,2
316.4105286,179.5098612,0.0,93.98663889,228.9709167,316,3
351.4079447,83.94086099,0.0,124.4666113,1000.199642,316,4
428.588944,856.2442506,0.0,275.7426663,526.0638611,316,5
562.2129172,648.2338045,0.0,726.6081686,294.7750827,316,6
439.4253328,88.60775014,0.0,423.5927496,485.4404716,316,7
396.1919166,123.74175,0.0,1078.795252,847.2846934,316,8
478.9031953,121.582972,0.0,2091.875276,253.4220289,316,9
624.8568052,66.96577765,0.0,1076.681249,142.2880553,316,10
453.8345564,166.57925,0.0,252.9813051,243.2118338,316,11
481.2771387,81.36661112,0.0,183.3625554,1033.989247,316,12
1490.448943,74.70897232,0.0,646.8182774,732.2556953,316,13
596.7257785,171.6553608,0.0,1261.430447,490.8198602,316,14
565.686834,69.74099994,0.0,795.6542773,490.6120813,316,15
709.046777,461.2813334,0.0,275.0725557,292.213139,316,16
1191.297804,850.7983059,0.0,302.8783886,385.1001948,316,17
620.0621386,676.1262495,0.0,1215.391389,420.1070819,316,18
722.3163612,653.8612779,0.0,1311.803445,527.3284164,316,19
487.6563613,501.818056,0.0,344.2859176,426.3979724,316,20
597.9794029,361.4729169,0.0,308.8808053,324.7041942,316,21
596.4281654,272.8397777,0.0,265.310388,246.032805,316,22
636.7636941,71.57686113,0.0,136.1934723,267.436834,316,23
537.411917,132.1120001,0.0,127.5263054,178.0047492,317,0
355.3778055,112.3980553,0.0,128.0931387,166.77325,317,1
320.7247776,67.60505548,0.0,117.7569447,153.368167,317,2
375.5363605,176.0034718,0.0,123.2263885,229.6618613,317,3
340.510888,67.59613901,0.0,131.5115832,1073.919031,317,4
505.8734995,809.4466124,0.0,117.0664443,841.4316412,317,5
349.2759438,677.1843043,0.0,183.6317782,569.3594715,317,6
364.8355002,89.29461124,0.0,169.90175,164.590361,317,7
358.3228333,140.9030553,0.0,1516.890336,358.4743056,317,8
487.6364717,103.232972,0.0,1513.014052,289.7218609,317,9
540.0701671,67.6920556,0.0,1501.581781,1415.632888,317,10
418.2971671,176.0138889,0.0,755.0795001,1375.82964,317,11
421.7144712,68.05825018,0.0,126.6331111,444.7114162,317,12
432.2676106,100.2918888,0.0,247.032278,1786.739611,317,13
549.3428331,142.9883888,0.0,1239.427083,177.6524723,317,14
592.9961392,69.2766945,0.0,603.378388,687.6318329,317,15
940.822973,182.9911945,0.0,297.1285832,302.2984168,317,16
632.3285553,464.4042774,0.0,374.5745838,258.6522778,317,17
620.2055554,743.1443057,0.0,950.3985836,603.0292507,317,18
648.1340009,554.6087773,0.0,309.6354444,527.2188338,317,19
716.1599731,443.4290547,0.0,282.3216384,367.9932216,317,20
612.5805552,414.7165558,0.0,263.1277217,573.1674999,317,21
547.9793884,149.6198606,0.0,186.4964166,664.1159159,317,22
480.6394173,67.65888892,0.0,157.0898612,240.4972499,317,23
480.3186113,150.7357779,0.0,128.5084161,218.5136663,318,0
421.8623608,88.55055528,0.0,132.794139,140.3097223,318,1
367.3458611,65.84847222,0.0,117.9084721,148.1340834,318,2
373.4676945,171.0146942,0.0,100.7688334,193.9817776,318,3
344.2775547,65.01238894,0.0,137.7042226,991.8515856,318,4
413.8973335,766.5864451,0.0,182.0619721,473.6745836,318,5
328.655527,731.1292766,0.0,195.4203605,232.9536387,318,6
413.08761,65.92391654,0.0,1688.854499,232.9200832,318,7
405.3139169,152.0218885,0.0,3384.044892,715.9551403,318,8
468.6084451,89.93786121,0.0,2562.899973,567.2199156,318,9
446.1229995,67.79580553,0.0,1475.950472,613.9415821,318,10
471.7850282,175.4449443,0.0,807.8057505,191.2831664,318,11
446.5175277,68.47205554,0.0,738.1148066,107.3784723,318,12
413.4325554,210.6028333,0.0,387.1141112,205.9922775,318,13
419.9666662,239.7128331,0.0,238.3254167,288.3887495,318,14
472.3533049,79.91163893,0.0,322.248889,548.6487784,318,15
499.060361,173.4220276,0.0,307.6805553,547.4142776,318,16
589.0725299,114.5611112,0.0,1218.217112,520.3005266,318,17
1239.193307,90.46505568,0.0,394.0852752,271.8732501,318,18
543.0166401,192.0199443,0.0,265.8786666,728.3229428,318,19
510.9371388,82.77219444,0.0,263.3715556,518.1959437,318,20
536.2737777,514.1194167,0.0,261.1574437,391.0826944,318,21
510.8468906,721.8741681,0.0,147.5500001,257.1137504,318,22
479.653334,122.2308054,0.0,145.2522221,189.536778,318,23
342.0060836,142.0661945,0.0,157.7369166,247.5636387,319,0
341.6310554,100.1088889,0.0,102.4074443,250.2877502,319,1
353.7377775,66.62916661,0.0,108.0393335,181.1881389,319,2
370.4432226,176.0865278,0.0,137.063,141.3294997,319,3
360.722,101.250528,0.0,188.2956109,174.2313331,319,4
475.5686392,882.3105822,0.0,119.2950278,225.7514442,319,5
400.1357226,619.6166114,0.0,173.7648051,1912.525441,319,6
375.6503605,111.225389,0.0,817.0746091,751.8016949,319,7
385.5022769,122.0191945,0.0,1338.211832,349.41389,319,8
462.5441392,118.1604443,0.0,1167.532973,325.8496101,319,9
556.2101668,67.9830834,0.0,156.0186111,412.5351381,319,10
602.0662483,159.7561113,0.0,624.559348,299.5607221,319,11
548.4289727,84.02241657,0.0,105.8060278,252.1318609,319,12
477.7597767,66.47969453,0.0,118.0930001,225.2762503,319,13
451.3958339,173.1651111,0.0,158.408,296.6762216,319,14
466.448473,67.40980554,0.0,185.5030554,461.0977772,319,15
559.9071941,123.7899167,0.0,250.4013892,1529.79467,319,16
870.4735552,2270.684532,0.0,216.3858336,2487.059521,319,17
628.2798338,795.2773877,0.0,203.4806111,2259.944778,319,18
1075.91214,294.4154724,0.0,214.6872222,2370.694888,319,19
566.2648884,266.9992778,0.0,223.0720556,2129.527248,319,20
629.0784725,372.0831106,0.0,130.3312499,402.420111,319,21
642.0988604,597.6688891,0.0,107.0968055,333.4825835,319,22
558.9533614,392.732972,0.0,106.3694723,276.2710555,319,23
540.1708334,82.56430549,0.0,90.08877786,201.9594997,320,0
393.7303338,176.9376109,0.0,99.44986119,214.066944,320,1
367.9691669,70.71683327,0.0,105.4648333,262.5908058,320,2
345.83325,117.2808611,0.0,88.84755534,191.3799442,320,3
365.3456663,174.7009163,0.0,219.7421394,1093.737445,320,4
