LG 01,LG 02,LG 03,LG 04,LG 05,LG 06,LG 07,LG 08,LG 09,LG 10,LG 11,LG 12,LG 13,LG 14,LG 15,LG 16,LG 17,LG 18,LG 19,LG 20,LG 21,LG 22,LG 23,LG 24,LG 25,LG 26,LG 27,LG 28,LG 29
13.922935390000001,12.284209014,4.102014945,15.082313504999998,1.941308467,28.211880732,25.801622014,10.11726373,23.751134441999998,40.802311140499995,31.643224032000003,0.0,6.238806,0.0,5.153253756,19.21552248,0.0,20.484079700000002,58.306841075,37.17288575,73.66990084999999,8.526368199999999,24.019403099999998,45.1273634,4.7914030080000005,18.34208964,90.1507467,90.1507467,72.00621925
13.870945339999999,7.123676651,3.758880615,12.74796026,4.981686591,22.882900607,13.168039863999999,7.029054759999999,25.965910572000002,30.395982732500002,30.723000147,0.0,6.519552269999999,0.0,4.691582112,17.59343292,0.0,20.5880598,59.684577399999995,31.97388075,79.02487599999999,8.006467699999998,23.8114429,37.2248758,4.3983582299999995,18.799602079999996,92.90621934999999,92.90621934999999,76.16542325
12.503607025,6.487318439,4.944253755,12.65437817,1.941308467,17.491532422,7.071686601,7.0082587400000005,26.57731356,23.193801106,30.096000143999998,0.0,6.207611969999999,0.0,5.168850771,17.427064759999997,0.0,23.1875623,58.0208958,31.45398025,77.0492541,8.4223881,23.603482699999997,37.640796200000004,4.487781116,19.04915432,88.27910490000001,88.27910490000001,92.02238849999999
6.08283585,6.200333363,5.89567167,13.39263688,3.882616934,15.961985150999999,5.356014951,6.94587068,33.932865834,22.0526195085,29.079074766,0.0,6.332388089999999,0.0,4.944253755,17.739005059999997,0.0,23.291542399999997,57.55298535,32.7537315,76.16542325,8.2144279,23.8114429,38.0567166,4.311014946,18.6124379,87.4472641,87.4472641,102.16044825
9.966492585000001,6.186815949999999,6.0828358499999995,15.311069725000001,2.447691554,13.806477678,5.459995050999999,6.982263714999999,41.600358408000005,24.9339080795,29.032283721,0.0,6.05164182,0.0,4.9941642029999995,17.44786078,2.717000013,43.2557216,61.218283875,32.49378125,65.81940329999999,8.2144279,25.995025,35.7691544,4.62711445,24.518507579999998,113.18233885,113.18233885,95.661692
8.68233835,6.291835851,6.0672388349999995,13.668184145,4.305815941,13.877184146,7.656054763,8.50557218,43.309791252,23.9845697665,28.679791182,0.062388059999999995,5.8332836100000005,3.540522405,5.483910474,17.073532420000003,5.719945300999999,49.3905475,80.94850785,110.47885624999999,83.7039805,8.006467699999998,25.3711444,43.463681799999996,11.536592094999998,123.0084583,123.47636874999999,123.47636874999999,89.42288599999999
7.190223915,8.188432875,6.92507466,12.701169215,28.959497651,19.176010042,5.837442814,28.85447775,40.907850941999996,29.877641934,35.470731513,13.382238869999998,6.80029854,7.626940335,19.898671737,18.1965175,10.009124426000001,52.9258709,105.825746775,139.07338375,114.5860702,8.006467699999998,30.4661693,112.7144284,35.825303654,146.611941,192.67512530000002,192.67512530000002,246.95273749999998
5.07422888,10.736985126,9.405000045,10.876318459999998,29.552184220999997,29.023965312999998,14.116338376,34.521393200000006,41.562925572,35.8611767885,59.864462973,28.355373269999998,33.44000016,20.603656814999997,44.632418124,42.92298528,67.769030175,59.580597299999994,116.43171697499999,143.23258775,130.65099565,8.2144279,74.96965209999999,148.691543,105.322483091,188.1000009,239.31020015000001,239.31020015000001,350.67288725
3.748482605,14.922184150999998,12.88313439,12.721965234999999,26.004383209,27.021308587,14.571771213999998,38.217885755000005,41.438149452000005,37.73229868799999,63.763716723,39.912761384999996,51.18940323,40.458656909999995,87.63338847899999,51.033433079999995,61.479273926,66.8592043,132.00273694999998,134.134329,120.98084635,27.762686700000003,195.0666676,155.3462694,126.36597572900001,206.04696615999998,263.43358335,263.43358335,401.8830865
17.546641875,20.147184176,12.524403045,18.212114515,24.907393154,25.638373256999998,21.705845874999998,40.224701685,49.324000235999996,39.91380118599999,62.497239105000006,40.05313451999999,53.3417913,37.838358389999996,71.041283922,52.21880622,40.320363377,64.6756222,132.6786076,148.43159275,128.25945335,129.45522449999999,219.2940309,148.691543,72.45021427699999,200.30726463999997,272.12424010800004,272.12424010800004,428.9179125
22.178955329999997,20.432089649999998,12.274850805,20.354104574999997,31.830388212,25.493840918,23.136612051,42.24711462999999,45.66805992,37.964174311,65.282865984,42.860597219999995,39.897164370000006,38.72738824500001,73.209269007,52.94666692,39.89092556400001,63.115920700000004,118.407338875,129.975125,126.59577175,140.373135,179.67761280000002,158.6736326,173.703956055,211.24597115999998,274.812125693,274.812125693,413.3208975
21.092363285,22.005308563,12.35283588,19.04915432,29.803816063,26.919408088999997,25.605099625,39.79318427,43.047761400000006,41.7485300505,69.269463018,36.37223898,41.05134347999999,39.195298695,100.03301540400001,50.6383087,46.466627088,62.388059999999996,113.624254275,114.11815975,126.6477618,139.85323449999999,216.5905483,160.96119480000002,79.714264063,204.7368169,285.033369523,285.033369523,429.17786275
21.18074637,22.616711551,15.16029858,19.407885665,31.070293681,27.690940431,24.474835938,41.644030050000005,42.211761396,40.651020095,53.946955482,30.91328373,33.03447777,37.05850764,59.75216446499999,50.8462689,27.452826002000002,53.7577117,102.758333825,108.91915475,129.3512444,119.7850752,183.62885659999998,155.55422959999999,123.665612532,189.11900588,281.695608313,281.695608313,396.94403174999997
