LG 01,LG 07,LG 03,small_ind_load_1,small_ind_load_2,load_bus3,load_bus4,load_bus5,load_bus9,load_bus10,load_bus11,load_bus6
15.51902992,33.50862703,4.39835823,0.227855478,0.089439655,0.06506308,0.104712274,0.818677149,0.287769748,0.041200525,0.109640652,0.004620335
14.59880604,20.56310458,4.92865674,0.124708625,0.126077586,0.070256829,0.104701188,0.820893196,0.287769748,0.038143814,0.107554199,0.00449398
15.74778615,7.916005013,3.103805985,0.253496503,0.119612069,0.072059707,0.104697315,0.819699479,0.287769748,0.03740119,0.106109369,0.004662202
13.87614435,7.605104514,4.74149256,0.043706294,0.113146552,0.108359696,0.105162661,0.909622463,0.299991945,0.038485096,0.112238096,0.00507266
15.13430355,7.033213964,9.124253775,0.184731935,0.415948276,0.120341756,0.09915334,0.902806567,0.332270738,0.042413739,0.104197823,0.006539119
13.48621897,7.201661726,8.26641795,0.266025641,0.356681034,0.165897446,0.231664147,1.127974057,0.639926231,0.072203083,0.144986337,0.006245871
16.58482595,6.577781126,9.685746315,0.347319347,0.454741379,0.199095727,0.243470884,1.239084279,0.783820535,0.094058787,0.16075638,0.008530299
16.47044784,12.98607469,9.841716465,0.334498834,0.465517241,0.212584708,0.392653788,1.270347848,1.404623933,0.080088021,0.237175648,0.012240386
16.7407961,20.34162696,12.33723887,0.364801865,0.637931034,0.22734545,0.43178142,1.287193921,1.38531573,0.07659627,0.267732387,0.011921332
19.28310955,34.19801509,12.61798514,0.6497669,0.657327586,0.232854582,0.498000843,1.278759307,1.354332024,0.05894061,0.262508897,0.010174788
20.790821,36.68002008,12.60238812,0.818764569,0.65625,0.235656932,0.5399809,1.26958511,1.371622165,0.05973021,0.290198705,0.007522423
21.00917921,40.27981114,14.13089559,0.843240093,0.761853448,0.225834648,0.586769044,1.220822246,1.334521068,0.062016806,0.279605124,0.006907633
20.81161702,39.74743303,14.73917918,0.821095571,0.80387931,0.24094441,0.618459685,1.250738662,1.407754323,0.064051476,0.281697257,0.007061237
21.11315931,39.99386586,15.67500007,0.854895105,0.868534483,0.245290267,0.645574409,1.242976726,1.416225392,0.066741117,0.282356266,0.007507836
20.75442796,39.90340318,17.57783591,0.814685315,1,0.249221256,0.655407531,1.23322512,1.401673637,0.068229966,0.282743579,0.007546372
20.19813443,39.00709471,16.56402993,0.752331002,0.929956897,0.251691599,0.656437004,1.237870719,1.447722643,0.073545355,0.284923152,0.010241801
20.60885582,40.9691992,16.20529859,0.798368298,0.905172414,0.251412677,0.620130974,1.241712701,1.342417328,0.086042549,0.284082104,0.009910743
20.44248766,40.90473154,14.16208962,0.77972028,0.764008621,0.152285377,0.557237313,0.961528095,1.157030211,0.092547564,0.276825041,0.009343395
21.47708966,39.70896039,12.75835827,0.895687646,0.667025862,0.149320348,0.555303952,0.969827469,1.138786094,0.093663186,0.262001638,0.009437264
21.56547274,40.30580616,6.39477615,0.905594406,0.22737069,0.130910831,0.476977757,0.853689315,0.978682021,0.103535856,0.234530432,0.009353534
21.00917921,41.87902508,5.131417935,0.843240093,0.140086207,0.1009069,0.105177571,0.827085461,0.986931933,0.103105392,0.175323053,0.008989949
21.50308468,43.48967683,5.36537316,0.898601399,0.15625,0.086824046,0.104826781,0.770234282,0.349356704,0.075181229,0.120258259,0.006396296
22.40771155,42.4249206,4.33597017,1,0.08512931,0.069389539,0.105721561,0.773574798,0.299991945,0.0518753,0.150227189,0.005572087
21.60706478,41.0731793,3.384552255,0.91025641,0.019396552,0.083668735,0.104823895,0.762814351,0.287769748,0.045012249,0.125629956,0.00501598
