SFH10,SFH11,SFH12,SFH14,SFH16,SFH17,SFH18,SFH19,SFH20,SFH21,SFH22,SFH23,SFH24,SFH25,SFH27,SFH28,SFH29,SFH3,SFH30,SFH31,SFH32,SFH34,SFH35,SFH36,SFH37,SFH38,SFH39,SFH4,SFH40,SFH5,SFH6,SFH7,SFH8,SFH9,th_load_38_household
1807.012721082899,199.37091703679795,11.532222252421926,3041.2827519522707,752.993999377888,1585.0181401570628,173.43011097643094,764.0116663376511,5624.120487213174,1346.1934981875952,2528.503392921554,192.78877626789915,0.0,528.0852226681177,299.61885941293474,941.847528709306,366.104638438754,11.256750029987778,229.5326661798682,1139.5639986223623,645.2535255220208,1395.5683037228068,10.751972240871849,11.77597223652734,3046.679081405534,1012.8477776368443,2788.787748119565,818.0611915508902,0.0,1450.3073287963869,1358.189251889123,674.7220285415631,897.7924197938701,1880.9151421440965,0.037533920091425074
1518.572550696798,395.4893891308055,11.503000005086276,3958.7706625832243,414.3383618407759,1380.3953078799796,10.51600001917946,697.9695292101964,4822.653363206647,720.595055728489,3822.147210833762,321.5409710857602,0.0,594.2120576434664,301.31494430435924,943.9003066963634,1057.8176978535114,205.26677865982043,224.94694440099946,1189.5739169518163,440.7519449869782,1415.1269423776198,188.7312780300775,11.738666653633105,2614.5486384073893,956.778751487201,3247.8779103332095,1216.7473585844025,0.0,1256.710444280837,1345.5249136606856,925.891164419388,882.2172261555985,1363.807058546279,0.038457976346654335
1769.1378893534356,960.6610849486456,1068.0015231132516,2830.2848808076524,769.4653335756735,1509.8342543284089,291.512026733823,1057.314138889313,5050.631362194461,1151.8689123365612,3257.1093347019632,834.0414731767447,0.0,655.4568613900065,309.7155005004681,728.0296964221543,436.21022281646754,636.9549729532662,235.76972170935704,1199.6653073363818,535.806332280902,2799.21596543789,10.583361167377948,11.591972247759518,4623.311743010415,1376.0318033642243,1814.9324990166544,734.4128593391829,0.0,922.6623325559831,988.7393591033106,255.36366488138896,811.2594437281296,1862.6110042995867,0.04149818683772084
1833.7640557183133,137.80341546800378,11.271055587132802,3711.8219175550666,446.5783886326675,1528.165586556327,637.0441655688828,615.0938336080976,4980.966572952252,827.8622213999433,2944.1009667184594,180.60705496205267,0.0,619.2616100735139,312.8740008751546,1260.333334565163,465.09022281434807,374.66130477322423,255.490611211459,927.4657519499467,506.0706113391442,1491.0937222745697,198.17313867939794,31.031027762095132,2965.354887798096,1075.2254439380429,1757.3926342752245,1143.7437485138585,0.0,1441.5337476306488,1295.1061340649926,999.8427251815792,709.8331955591832,1320.2085591634104,0.03700486564717025
1360.578610910309,487.994360963503,11.411611082818753,4725.40535151164,728.2244985977802,1580.8416930728492,415.976416325569,572.8760010374933,4071.455993525202,1012.1114203559018,2678.0403371546013,386.8140266736351,0.0,644.9691966374729,278.7232507096394,661.3720015658273,561.951306374868,138.52069393263918,288.64508481290596,1372.734040994117,439.323082892101,4698.113619314301,811.1971635315155,70.06944452921549,3656.9311164750006,947.7620006243374,2375.8714764595043,1056.6863207896556,0.0,855.692641173469,1067.2674444728439,624.4619750128842,1035.9032758500862,1881.320478142632,0.04149924593550631
1830.2454715304875,1255.314471096463,962.1567203150863,3704.404277759143,1177.4468911647798,1501.0105026457038,408.4448334031643,1171.538192248343,6612.933564080153,949.6809681362573,3168.6711971177,192.9495832284286,0.0,1322.409189923604,751.912222891384,1313.9008930153325,417.6044998804733,10.941527779897061,616.5102500703596,979.233361458779,613.4925565401704,2844.3512213283116,584.4060843520687,69.12366676330566,2553.0008337736144,1200.7339421007387,2339.14127494494,1369.0031695498376,0.0,1409.9460274590404,1730.2891999880453,475.00508378346865,865.7424710803564,1881.4090842352973,0.04628295323364473
1791.4204416460477,1774.4043585326958,1363.1629442744768,2751.2294410493664,476.26363996929643,1478.8930501725943,572.7637508153913,579.423583565817,5975.391691801282,814.0910831027567,2552.2709180831916,306.60172206825536,0.0,489.0793320761785,488.806583944956,1106.3915517409625,583.799166329701,839.3691095511114,268.52972290515874,1280.3004452175594,854.5702246665959,2319.3183127747643,352.2873332288516,69.5379998948839,3445.9926083432297,1014.7410009172244,1320.2510296450735,771.6740526543733,0.0,1378.295608181424,1566.065554290348,1303.0071962780446,917.214749569362,1404.7934117635095,0.04220994161905448
1516.1457499848484,1205.0004996485193,655.9066919803622,4359.93090277778,760.0722501304404,1921.1785876803954,492.7332222170313,932.5286103460548,5175.116940180453,1160.234750111896,2330.494112960497,280.21647049056116,0.0,628.8010000440809,678.3181930250597,967.6563910060459,495.903305043115,946.4246355507089,1356.3879707283445,1012.6130563206136,638.0345016055642,2912.4081907033915,255.25777657031963,70.2523334927029,2560.134864099821,864.1080018626316,2343.6499506155656,933.5376666333946,0.0,1745.0990832858631,965.0009163220724,229.9779717551342,1364.1325552198616,1734.7659749348966,0.04349202312732804
1326.37566910055,2006.1033294677734,942.1404727035089,2790.3802191628242,439.8494443946407,2486.2805548773867,459.7148322211375,592.7376672135463,4857.360184521147,1357.5402505662696,3684.605663736662,300.16944306691437,0.0,756.2290545569526,453.5629168960779,1325.470885067517,505.72577685250064,1393.463222697046,512.4823342614696,543.5888048436912,519.8293060832557,5763.313490125866,320.29380551179366,1028.698109881083,2238.6017286327146,1561.6766982316976,1199.7445325056717,937.6502771986848,0.0,1599.4653346167656,1016.4696098327653,1150.0960863537255,1347.5822224511046,1394.6540006849511,0.04681185592831769
1352.9698919375724,1130.9859746906477,498.24997085995216,3652.8832870483275,748.0107778125331,1815.2427461624154,461.37000135580826,651.5470851898194,7762.691002061612,1133.4202240414083,3923.70875476731,420.221610681216,0.0,459.44994576772024,550.6448616398711,745.5197496361205,505.17955504523513,1033.178996443748,573.5356665028468,693.0484995206201,545.1776104503208,3418.610998781522,510.134639922779,1006.6404439078434,3266.5567234728082,1529.1537219444913,2313.1582309087116,855.1450018008534,0.0,832.5997223112322,858.7956385930387,210.96294426388184,1047.2262759314654,1787.3878875732444,0.04629340844102699
1292.021251861254,1066.6730569336157,965.1563631375637,2220.81869744196,391.8328338808495,2404.9829745822467,420.7042781511939,688.9951650672498,4247.557310612996,732.9430565728078,2807.0843155596003,370.08066744804495,0.0,521.8872777938844,446.4577494409352,690.573058223725,334.96738957299135,644.7983066823754,563.4017778529052,702.4941109630797,1705.1292250527283,4327.762387220065,473.1690826204088,70.21441667344835,1974.7915040148634,1095.221915486125,1296.1026412116144,521.7899150715929,0.0,1362.9647763782064,1264.9129136933236,968.6725837707531,1330.0708275265158,1620.854501512315,0.03952508633201124
1791.6699737230936,987.7160544368962,444.2746640231861,4199.554403093111,664.7534159845789,2185.206557273865,410.3602499882386,688.951751054657,4980.88974210953,663.0032772488066,2811.72642068598,332.80219426155145,0.0,806.8649965710107,469.9134731610612,660.892114769089,534.8946103201957,200.04941667450808,366.1524170239755,749.3196127759094,424.23922186957554,5524.240898127027,519.3061656581035,71.62697228325737,2105.7679449240377,864.4444728586406,1181.708138216867,622.0829998122318,0.0,628.1849185943605,720.8915009710529,642.4783867730041,984.561942948236,1002.4958036634662,0.03924102471187912
1400.5025280157713,1046.360860904057,949.4294966459266,2190.3098575380272,475.98186132113204,2162.156225352818,421.09341693189344,567.9368590116499,5472.123882124168,1090.2397768656415,1305.5712300247642,796.6770559045996,0.0,449.15252742767365,512.9217503441712,1429.6426101472634,351.34055521223263,1294.8240003347391,443.01216570801057,1029.2010302464166,521.2298055330916,2583.8161068863333,311.93886227077917,69.69561127556696,2489.2122478299657,1014.1282758871716,1520.8685559060846,1256.4235820929212,0.0,1397.210469860501,1046.684831587474,605.6354160096907,947.3131400638139,1650.5401914808479,0.038803174786745186
1750.689472606448,1070.5030566665832,1188.0037779066301,2103.2651610056546,2018.2153143167557,2495.9858350965724,429.3801412211526,1027.5481128003871,4265.030161709252,639.271497429741,1027.1509444316216,552.6050803502407,0.0,821.0136123233369,1119.0314168294287,1433.4810788101615,789.1530306922072,1014.4252794424696,1020.6866944683931,836.459779355263,506.23625004026593,3004.513944350348,569.706637332174,70.57930550045437,2389.322856015631,771.4812760618001,3265.7594855573434,1210.9812776459578,0.0,1239.0694999270968,938.1419734107112,884.9711358600196,1561.0671908272648,959.670888604058,0.04297340116859542
