wt_power_feb,wt_power_feb_norm,wt_power_jun,wt_power_jun_norm,wt_power_oct,wt_power_oct_norm
0.221,0.25965996908809896,0.061,0.07424242424242425,0.292,0.3517835178351783
0.227,0.26893353941267395,0.124,0.16969696969696968,0.299,0.3603936039360393
0.219,0.2565687789799074,0.241,0.34696969696969693,0.289,0.3480934809348093
0.207,0.23802163833075737,0.305,0.4439393939393939,0.261,0.31365313653136534
0.208,0.23956723338485322,0.278,0.40303030303030307,0.225,0.2693726937269373
0.221,0.25965996908809896,0.272,0.393939393939394,0.182,0.2164821648216482
0.225,0.26584234930448225,0.236,0.33939393939393936,0.106,0.12300123001230011
0.15,0.14992272024729522,0.135,0.18636363636363637,0.043,0.04551045510455105
0.077,0.03709428129829985,0.086,0.1121212121212121,0.03,0.02952029520295203
0.054,0.0015455950540958358,0.204,0.2909090909090909,0.045,0.04797047970479705
0.053,0.0,0.481,0.7106060606060606,0.051,0.055350553505535055
0.068,0.023183925811437425,0.672,1.0000000000000002,0.044,0.046740467404674045
0.077,0.03709428129829985,0.663,0.9863636363636364,0.036,0.03690036900369004
0.111,0.08964451313755797,0.571,0.8469696969696969,0.025,0.023370233702337023
0.185,0.20401854714064918,0.524,0.7757575757575758,0.022,0.019680196801968017
0.266,0.32921174652241125,0.51,0.7545454545454545,0.033,0.033210332103321034
0.352,0.4621329211746523,0.473,0.6984848484848485,0.042,0.04428044280442805
0.43,0.5826893353941268,0.382,0.5606060606060606,0.05,0.05412054120541206
0.479,0.6584234930448223,0.261,0.37727272727272726,0.079,0.0897908979089791
0.494,0.6816074188562598,0.214,0.30606060606060603,0.114,0.13284132841328414
0.494,0.6816074188562598,0.176,0.24848484848484848,0.131,0.15375153751537515
0.489,0.6738794435857807,0.107,0.14393939393939392,0.105,0.12177121771217712
0.477,0.6553323029366307,0.058,0.0696969696969697,0.034,0.03444034440344404
0.474,0.6506955177743432,0.034,0.03333333333333334,0.015,0.01107011070110701
0.469,0.642967542503864,0.018,0.00909090909090909,0.106,0.12300123001230011
0.464,0.635239567233385,0.017,0.0075757575757575794,0.225,0.2693726937269373
0.466,0.6383307573415766,0.043,0.04696969696969696,0.298,0.3591635916359163
0.469,0.642967542503864,0.072,0.09090909090909091,0.323,0.3899138991389914
0.472,0.6476043276661515,0.057,0.06818181818181818,0.305,0.3677736777367773
0.472,0.6476043276661515,0.073,0.09242424242424241,0.256,0.3075030750307503
0.386,0.5146831530139104,0.088,0.11515151515151514,0.238,0.28536285362853625
0.238,0.285935085007728,0.096,0.12727272727272726,0.219,0.26199261992619927
0.187,0.20710973724884083,0.103,0.13787878787878785,0.259,0.3111931119311193
0.259,0.31839258114374047,0.108,0.14545454545454545,0.313,0.37761377613776137
0.258,0.31684698608964457,0.112,0.15151515151515152,0.322,0.3886838868388684
0.284,0.3570324574961361,0.113,0.15303030303030302,0.261,0.31365313653136534
0.28,0.3508500772797528,0.112,0.15151515151515152,0.205,0.2447724477244772
0.272,0.33848531684698624,0.101,0.13484848484848486,0.179,0.2127921279212792
0.302,0.38485316846986095,0.087,0.11363636363636362,0.18,0.2140221402214022
0.337,0.43894899536321497,0.08,0.10303030303030303,0.259,0.3111931119311193
0.36,0.4744976816074189,0.074,0.09393939393939393,0.356,0.4305043050430504
0.364,0.4806800618238022,0.068,0.08484848484848487,0.381,0.46125461254612543
0.347,0.45440494590417313,0.065,0.08030303030303029,0.355,0.4292742927429274
0.314,0.4034003091190109,0.047,0.05303030303030303,0.327,0.3948339483394834
0.283,0.3554868624420402,0.023,0.01666666666666667,0.337,0.40713407134071344
0.249,0.3029366306027821,0.012,0.0,0.278,0.33456334563345635
0.215,0.250386398763524,0.017,0.0075757575757575794,0.296,0.3567035670356703
0.192,0.21483771251932002,0.034,0.03333333333333334,0.322,0.3886838868388684
0.192,0.21483771251932002,0.054,0.06363636363636363,0.344,0.4157441574415744
0.204,0.23338485316846988,0.074,0.09393939393939393,0.316,0.3813038130381304
0.212,0.2457496136012365,0.085,0.1106060606060606,0.314,0.37884378843788435
0.217,0.2534775888717157,0.072,0.09090909090909091,0.322,0.3886838868388684
0.219,0.2565687789799074,0.036,0.03636363636363636,0.317,0.38253382533825336
0.219,0.2565687789799074,0.028,0.024242424242424246,0.305,0.3677736777367773
0.179,0.1947449768160742,0.026,0.02121212121212121,0.276,0.33210332103321033
0.092,0.060278207109737275,0.028,0.024242424242424246,0.272,0.32718327183271834
0.054,0.0015455950540958358,0.028,0.024242424242424246,0.27,0.3247232472324723
0.057,0.006182380216383315,0.028,0.024242424242424246,0.218,0.2607626076260762
0.096,0.06646058732612059,0.031,0.028787878787878786,0.169,0.2004920049200492
0.11,0.08809891808346215,0.039,0.04090909090909091,0.154,0.18204182041820416
