LG 01,LG 02,LG 03,LG 04,LG 05,LG 06,LG 07,LG 08,LG 09,LG 10,LG 11,LG 12,LG 13,LG 14,LG 15,LG 16,LG 17,LG 18,LG 19,LG 20,LG 21,LG 22,LG 23,LG 24,LG 25,LG 26,LG 27,LG 28,LG 29,eload_med_ind,eload_small_ind,eload_comm
13.92293539,12.28420901,4.102014945,15.0823135,1.941308467,28.21188073,25.80162201,10.11726373,23.75113444,40.80231114,31.64322403,0,6.238806,0,5.153253756,19.21552248,0,20.4840797,58.30684108,37.17288575,73.66990085,8.5263682,24.0194031,45.1273634,4.791403008,18.34208964,90.1507467,90.1507467,72.00621925,0.254242135,0.484154522,0.02075227
13.87094534,7.123676651,3.758880615,12.74796026,4.981686591,22.88290061,13.16803986,7.02905476,25.96591057,30.39598273,30.72300015,0,6.51955227,0,4.691582112,17.59343292,0,20.5880598,59.6845774,31.97388075,79.024876,8.0064677,23.8114429,37.2248758,4.39835823,18.79960208,92.90621935,92.90621935,76.16542325,0.240181125,0.481841314,0.026588846
12.50360703,6.487318439,4.944253755,12.65437817,1.941308467,17.49153242,7.071686601,7.00825874,26.57731356,23.19380111,30.09600014,0,6.20761197,0,5.168850771,17.42706476,0,23.1875623,58.0208958,31.45398025,77.0492541,8.4223881,23.6034827,37.6407962,4.487781116,19.04915432,88.2791049,88.2791049,92.0223885,0.230600572,0.421003932,0.020103761
6.08283585,6.200333363,5.89567167,13.39263688,3.882616934,15.96198515,5.356014951,6.94587068,33.93286583,22.05261951,29.07907477,0,6.33238809,0,4.944253755,17.73900506,0,23.2915424,57.55298535,32.7537315,76.16542325,8.2144279,23.8114429,38.0567166,4.311014946,18.6124379,87.4472641,87.4472641,102.1604483,0.215061964,0.135322693,0.022697795
9.966492585,6.18681595,6.08283585,15.31106973,2.447691554,13.80647768,5.459995051,6.982263715,41.60035841,24.93390808,29.03228372,0,6.05164182,0,4.994164203,17.44786078,2.717000013,43.2557216,61.21828388,32.49378125,65.8194033,8.2144279,25.995025,35.7691544,4.62711445,24.51850758,113.1823389,113.1823389,95.661692,0.214346997,0.308119362,0.016861219
8.68233835,6.291835851,6.067238835,13.66818415,4.305815941,13.87718415,7.656054763,8.50557218,43.30979125,23.98456977,28.67979118,0.06238806,5.83328361,3.540522405,5.483910474,17.07353242,5.719945301,49.3905475,80.94850785,110.4788562,83.7039805,8.0064677,25.3711444,43.4636818,11.53659209,123.0084583,123.4763687,123.4763687,89.422886,0.208960915,0.250983114,0.01232166
7.190223915,8.188432875,6.92507466,12.70116922,28.95949765,19.17601004,5.837442814,28.85447775,40.90785094,29.87764193,35.47073151,13.38223887,6.80029854,7.626940335,19.89867174,18.1965175,10.00912443,52.9258709,105.8257468,139.0733838,114.5860702,8.0064677,30.4661693,112.7144284,35.82530365,146.611941,192.6751253,192.6751253,246.9527375,0.312726406,0.184594032,0.032425422
5.07422888,10.73698513,9.405000045,10.87631846,29.55218422,29.02396531,14.11633838,34.5213932,41.56292557,35.86117679,59.86446297,28.35537327,33.44000016,20.60365681,44.63241812,42.92298528,67.76903018,59.5805973,116.431717,143.2325878,130.6509957,8.2144279,74.9696521,148.691543,105.3224831,188.1000009,239.3102002,239.3102002,350.6728873,0.685462345,0.090446449,0.586251621
3.748482605,14.92218415,12.88313439,12.72196523,26.00438321,27.02130859,14.57177121,38.21788576,41.43814945,37.73229869,63.76371672,39.91276138,51.18940323,40.45865691,87.63338848,51.03343308,61.47927393,66.8592043,132.0027369,134.134329,120.9808464,27.7626867,195.0666676,155.3462694,126.3659757,206.0469662,263.4335834,263.4335834,401.8830865,0.745042898,0.031459635,0.955252918
17.54664188,20.14718418,12.52440305,18.21211452,24.90739315,25.63837326,21.70584587,40.22470169,49.32400024,39.91380119,62.49723911,40.05313452,53.3417913,37.83835839,71.04128392,52.21880622,40.32036338,64.6756222,132.6786076,148.4315928,128.2594534,129.4552245,219.2940309,148.691543,72.45021428,200.3072646,272.1242401,272.1242401,428.9179125,0.725691134,0.645385149,1
22.17895533,20.43208965,12.27485081,20.35410457,31.83038821,25.49384092,23.13661205,42.24711463,45.66805992,37.96417431,65.28286598,42.86059722,39.89716437,38.72738825,73.20926901,52.94666692,39.89092556,63.1159207,118.4073389,129.975125,126.5957718,140.373135,179.6776128,158.6736326,173.7039561,211.2459712,274.8121257,274.8121257,413.3208975,0.768255481,0.851492019,0.720492866
21.09236329,22.00530856,12.35283588,19.04915432,29.80381606,26.91940809,25.60509963,39.79318427,43.0477614,41.74853005,69.26946302,36.37223898,41.05134348,39.1952987,100.0330154,50.6383087,46.46662709,62.38806,113.6242543,114.1181598,126.6477618,139.8532345,216.5905483,160.9611948,79.71426406,204.7368169,285.0333695,285.0333695,429.1778628,0.829170639,0.803145963,0.744487678
21.18074637,22.61671155,15.16029858,19.40788567,31.07029368,27.69094043,24.47483594,41.64403005,42.2117614,40.6510201,53.94695548,30.91328373,33.03447777,37.05850764,59.75216446,50.8462689,27.452826,53.7577117,102.7583338,108.9191548,129.3512444,119.7850752,183.6288566,155.5542296,123.6656125,189.1190059,281.6956083,281.6956083,396.9440317,0.595042898,0.807078418,0.577821012
21.64865682,22.83714936,13.97492544,21.60186577,25.41481604,26.24873644,25.22869166,43.13614448,45.30620917,38.81005242,71.46864213,39.83477631,50.40955248,35.35843301,75.45835857,57.56338336,37.03043301,47.4149256,112.0905478,98.52114475,131.3788563,137.4616922,150.3552246,127.0636822,155.5500704,177.1820904,270.4543197,270.4543197,404.2226388,0.862774071,0.827897294,0.939040208
21.33671652,22.96816429,13.66298514,21.71624388,22.88082101,25.96799017,24.2284031,42.71502508,42.08074647,39.16722407,73.7208511,32.78492553,50.09761218,35.60798524,70.48603019,50.07681616,33.88503499,43.8796022,103.5381846,99.3009955,142.3487569,131.3268663,200.2656726,130.5990056,136.3303887,140.7682594,275.2082899,275.2082899,403.442788,0.897187798,0.814018043,0.932555123
21.47189065,20.0681593,14.19328365,21.80982598,23.72513942,25.24844788,25.1652638,41.85718925,35.50504495,40.43630119,63.19286597,34.54738823,50.09761218,35.90432853,77.23953768,69.20915456,30.8841693,39.512438,94.621891,100.6007468,145.1042296,114.4820901,151.3950256,136.4218912,144.7995679,139.2501499,274.8828322,274.8828322,402.1430367,0.736320305,0.820032385,0.932555123
21.65385582,21.46045284,14.09970156,22.6676618,11.48252244,28.63923894,26.58043296,34.28223897,32.75997031,38.0572365,35.52064196,26.84246282,36.8089554,31.67753747,19.29662696,55.37980126,10.2950697,24.955224,73.95584613,98.52114475,130.7549758,33.8975126,61.9721396,133.9263688,153.1044584,127.9787071,240.0131056,240.0131056,410.4614448,0.313489037,0.828128614,0.656290532
20.73883095,21.40742299,13.49141798,22.26733841,3.123562204,29.49915437,30.48072651,33.6895524,36.2848957,43.20269175,35.05897032,17.62462695,22.05417921,23.55149265,4.236149274,37.39124396,0.286985076,21.5238807,63.1159207,78.24502525,101.900498,16.636816,37.7447763,120.4089558,55.14480623,106.6627866,185.9164188,185.9164188,265.6691555,0.3064347,0.787416146,0.349546044
20.10975134,24.37189564,7.003059735,22.93281106,2.870890561,33.00848275,29.28391556,32.63415438,36.09149271,42.80496787,33.84552255,2.511119415,19.40268666,6.05164182,2.723238819,30.63253746,0,19.4442787,61.9721396,85.52363225,72.5781098,27.034826,30.2582091,116.0417916,124.0711349,63.09512468,133.9263688,133.9263688,183.7848268,0.287893232,0.759426324,0.294422827
22.42330856,23.79896529,5.630522415,23.72825882,7.260930383,35.72028375,29.76534343,32.03626881,33.70203001,45.41694798,34.36958225,0,18.68522397,0.077985075,2.161746279,25.24636828,8.721850788,19.5482588,66.10534858,103.7201498,73.87786105,27.5547265,31.4019902,114.37811,92.34056761,40.17791064,123.2684085,123.2684085,120.3569658,0.295900858,0.862364099,0.279507134
